lon,lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,upper_plate_nature
119.914079,17.974119,602,612,120.296342,64.419135,-0.000280,-177.339164,-0.000280,-0.000013,-2.615968,0.038781,2.616078,0.038783,,987.219229,18,1345.115776,continental
119.649543,17.542227,602,612,120.215658,46.775948,-0.000221,-177.782783,-0.000221,-0.000009,-2.614657,0.038783,2.614678,0.038783,,1042.816771,18,1345.115776,continental
119.494597,17.083394,602,612,88.668627,55.597542,-0.000090,-147.611033,-0.000076,-0.000048,-2.207511,1.398681,2.207643,1.398764,24.181948,1098.414313,18,1345.115776,continental
119.506719,16.583528,602,612,88.672138,55.597542,-0.000211,-147.588682,-0.000179,-0.000113,-2.205525,1.398544,2.205872,1.398764,22.507463,1121.424318,18,1345.115776,continental
119.518777,16.083662,602,612,88.675529,55.597542,-0.000232,-147.596311,-0.000196,-0.000124,-2.203539,1.398514,2.203934,1.398764,20.689335,1065.826776,18,1345.115776,continental
119.530775,15.583795,602,612,88.678803,55.597542,-0.000166,-147.622849,-0.000140,-0.000089,-2.201553,1.398590,2.201828,1.398764,17.043737,1010.229234,18,1345.115776,continental
119.547179,15.084594,602,612,73.750426,55.597542,0.001580,34.742747,0.001298,0.000900,-1.764826,1.918332,1.764832,1.918338,17.557484,954.631692,18,1345.115776,continental
119.691760,14.604522,602,612,73.787468,55.597542,0.056855,34.752195,0.046714,0.032409,-1.762307,1.918228,1.762408,1.918338,19.484369,899.034150,18,1345.115776,continental
119.835710,14.124362,602,612,73.823181,55.597542,0.099381,34.694410,0.081711,0.056568,-1.759788,1.918270,1.759851,1.918338,22.203547,843.436609,18,1345.115776,continental
120.117828,13.733090,602,612,39.302047,65.724484,0.748669,69.352647,0.263992,0.700581,-0.357321,2.577579,0.357326,2.577615,24.864962,787.839067,18,1345.115776,continental
120.515589,13.416069,602,612,39.395407,45.470599,0.405270,69.538545,0.141673,0.379701,-0.354609,2.577594,0.354612,2.577615,27.568310,732.241525,18,1345.115776,continental
120.927972,13.120197,602,612,30.578967,55.597542,0.010126,82.836985,0.001263,0.010047,0.051659,2.601122,-0.051659,2.601154,,676.643983,18,1345.115776,continental
121.354616,12.853742,602,612,71.551989,55.597542,0.020952,48.692811,0.013830,0.015739,-1.661121,2.002274,1.661125,2.002279,,621.046441,18,1345.115776,continental
