time_Ma,segment,geo_ups,geo_zone,n_samples,n_age,median_age_Ma,median_width_km,median_edge_km,median_lon,median_lat,is_E,is_C,age_ge_55,edge_near
13.0,Hellenic,E,Aegean_rifting,21,19,226.729248,6098.121141,555.975419,24.412079,33.518202,1,0,1.0,1
13.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,23,23,91.765778,10131.484817,966.652434,142.74222,29.327275,0,0,1.0,1
13.0,Japan,N,Japan_post_opening_neutral,15,15,82.868317,10131.484817,333.585251,140.824101,38.360279,0,0,1.0,1
13.0,Mariana,N,IBM_post_PV_gap,30,30,120.91041949999999,10131.484817,413.331842,147.096249,17.011530999999998,0,0,1.0,1
13.0,Scotia,E,East_Scotia_Ridge,21,21,47.820065,1102.241939,121.613983,-34.527586,-57.718787,1,0,0.0,1
14.0,Andes,C,Central_Andes_shortening,45,45,72.47831,7309.917599,1529.607604,-72.076308,-20.804552,0,1,1.0,0
14.0,Cascadia,N,Cascadia_no_backarc,27,18,7.6759745,1783.586717,526.610528,-122.279694,46.347435,0,0,0.0,1
14.0,Hellenic,E,Aegean_rifting,21,20,212.2235185,5983.530695,555.975419,24.358461,33.483689,1,0,1.0,1
14.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,23,23,76.641754,10206.98075,892.171628,142.489994,29.674917,0,0,1.0,1
14.0,Japan,E,Japan_Sea_opening,12,12,76.3343235,10206.98075,472.579106,140.550421,39.092369000000005,1,0,1.0,1
14.0,Mariana,N,IBM_post_PV_gap,31,31,119.034363,10206.98075,437.480891,147.063745,17.178528,0,0,1.0,1
14.0,Scotia,E,East_Scotia_Ridge,21,21,46.430466,1108.310612,124.509338,-34.89425,-57.761051,1,0,0.0,1
15.0,Andes,C,Central_Andes_shortening,45,45,72.159119,7587.578296,1524.450418,-71.990687,-20.936103,0,1,1.0,0
15.0,Cascadia,N,Cascadia_no_backarc,26,17,7.491011,1627.549929,465.424624,-122.1290735,46.521860000000004,0,0,0.0,1
15.0,Hellenic,E,Aegean_rifting,22,21,209.749908,5864.967756,537.355457,24.5906565,33.442616,1,0,1.0,1
15.0,Izu-Bonin,E,Shikoku_Basin,23,23,82.654793,10295.103599,900.163796,142.29475,29.523757,1,0,1.0,1
15.0,Japan,E,Japan_Sea_opening,9,9,68.236168,10295.103599,555.975419,140.511989,39.796278,1,0,1.0,1
15.0,Mariana,E,Parece_Vela_Basin,35,35,118.505653,10295.103599,493.078433,147.409526,16.153364,1,0,1.0,1
15.0,Scotia,E,East_Scotia_Ridge,22,22,43.257929000000004,1129.518279,119.9788045,-35.2869065,-57.7488675,1,0,0.0,1
16.0,Andes,C,Central_Andes_shortening,45,45,73.890182,7778.794178,1516.584256,-71.89255,-21.091204,0,1,1.0,0
16.0,Cascadia,N,Cascadia_no_backarc,25,17,8.168585,1683.528142,500.377877,-122.062216,46.852362,0,0,0.0,1
16.0,Hellenic,E,Aegean_rifting,22,21,207.069962,5766.305367,529.2429555,24.5173355,33.395855,1,0,1.0,1
